country,code,region,region_noHICgroup,incgroup2,incgroup3,incgroup4,fragile,survey,year,status,cohort,parent,child,obs,P1,P2,P3,P4,P5,C1,C2,C3,C4,C5,MEANp,MEANc,SDp,SDc,MLD_psu,CAT,YOS,DIF,MIX,CAT_ISCED0,CAT_ISCED1,CAT_ISCED2,CAT_ISCED34,CAT_ISCED5678,COR,BETA,MU050,BHQ4,Q4Q4,BHQ1,BHQ2,BHQ3,Q4BH,Q4child
Afghanistan,AFG,South Asia,South Asia,Developing economies,Low income,Low income,Yes,NRVA,2011,Co-residents only,1980,mom,daughter,743,.88723409,.010490757,.029825391,.067567483,.0048822868,.62592477,.022771038,.1088951,.1288846,.11352452,1.354021,4.3329616,3.5643578,5.8839722,.25332066,.3408632,.34249276,3.0088809,.34061894,.30315918,.87082821,.78913045,.5558008,0,.49783164,.82181072,37.251896,.13860382,.42341402,.38384795,.33206072,.14548749,.39565811,.21529861
Afghanistan,AFG,South Asia,South Asia,Developing economies,Low income,Low income,Yes,NRVA,2011,Co-residents only,1980,mom,son,3628,.91651881,.0093738763,.023500744,.042235285,.008371315,.50158018,.02686806,.17696311,.19027384,.10431483,.99480957,5.693975,3.2170758,5.7592707,.12346732,.47007632,.52385378,4.7533412,.47203177,.45790163,.92467898,.75708932,.47367322,0,.33812642,.60532039,46.348106,.21606827,.39722523,.25374693,.25254172,.27764308,.34114894,.25821286
Angola,AGO,Sub-Saharan Africa,Sub-Saharan Africa,Developing economies,Middle income,Lower middle income,No,IBEP-MICS,2008,Co-residents only,1980,avg,all,476,.45116287,.21334429,.17810149,.10135192,.056039423,.33021063,.096481197,.051976804,.19066133,.33067003,5.409904,9.1551704,4.3398561,6.133954,.66970968,.54882681,.67146045,4.0710273,.55695176,.39151812,.69620258,.727952,.62408537,0,.59007889,.83401769,34.808189,.11609487,.51833385,.46529415,.25665724,.16195375,.12602226,.25207084
Angola,AGO,Sub-Saharan Africa,Sub-Saharan Africa,Developing economies,Middle income,Lower middle income,No,IBEP-MICS,2008,Co-residents only,1980,avg,daughter,231,.44297212,.24635817,.15415493,.092356861,.064157918,.39077765,.090076104,.052898612,.16123508,.30501255,5.2784462,8.4065542,4.4607162,6.3934031,.7646963,.50385743,.61264861,3.5211167,.50300992,.26860392,.75322104,.60995311,.7899521,0,.60808325,.87154639,31.969715,.085703246,.50248873,.57652503,.20059933,.11386339,.16997457,.22615491
Angola,AGO,Sub-Saharan Africa,Sub-Saharan Africa,Developing economies,Middle income,Lower middle income,No,IBEP-MICS,2008,Co-residents only,1980,avg,son,245,.46021807,.17684618,.20457534,.1112963,.047064114,.26325148,.10356227,.05095771,.22319318,.35903537,5.5552354,9.9827938,4.2074227,5.735074,.80122399,.59765041,.73596001,4.6680689,.61658663,.52231234,.60838926,.82625252,.47191802,0,.56951952,.77630347,37.802383,.13392837,.5450542,.34246066,.32103181,.20257916,.081728049,.28072187
Angola,AGO,Sub-Saharan Africa,Sub-Saharan Africa,Developing economies,Middle income,Lower middle income,No,IBEP-MICS,2008,Co-residents only,1980,dad,all,514,.48415551,.095066704,.14696519,.15699387,.11681875,.32412547,.093676195,.061562046,.18312152,.33751476,6.8270173,9.1924791,5.2118077,6.1242375,.66970968,.53080142,.6040194,3.2601509,.52604055,.43873984,.6966188,.61475664,.63570923,0,.52359319,.61525857,36.819912,.14073187,.4664562,.43914703,.26252276,.15759836,.17360453,.25153533
Angola,AGO,Sub-Saharan Africa,Sub-Saharan Africa,Developing economies,Middle income,Lower middle income,No,IBEP-MICS,2008,Co-residents only,1980,dad,daughter,248,.48819357,.11388655,.13810791,.15000796,.109804,.39021271,.089455821,.056306046,.15437524,.30965018,6.5441074,8.4311419,5.2941828,6.4456644,.7646963,.47197133,.53934032,2.711781,.4694171,.32959813,.67871672,.59071654,.66903096,0,.56101894,.6830402,32.417019,.10364611,.46521044,.5567072,.22856742,.085511893,.21808396,.23435204
Angola,AGO,Sub-Saharan Africa,Sub-Saharan Africa,Developing economies,Middle income,Lower middle income,No,IBEP-MICS,2008,Co-residents only,1980,dad,son,266,.47970507,.074325092,.15672691,.16469312,.1245498,.25128984,.098327532,.067354754,.21480317,.36822468,7.1388159,10.031558,5.1122818,5.6446042,.80122399,.59673089,.67611349,3.8746967,.58844596,.5611549,.72685081,.63810402,.60225958,0,.47130781,.5203833,38.25518,.1346972,.46994951,.32393703,.3013429,.24002288,.12123053,.27047327
Angola,AGO,Sub-Saharan Africa,Sub-Saharan Africa,Developing economies,Middle income,Lower middle income,No,IBEP-MICS,2008,Co-residents only,1980,max,all,476,.45116287,.10522864,.14958723,.16477096,.1292503,.33021063,.096481197,.051976804,.19066133,.33067003,7.0911775,9.1551704,5.3321667,6.133954,.66970968,.50106752,.58752054,3.0038908,.50164425,.39151812,.65069342,.60024619,.61543131,0,.55669487,.64040405,35.935127,.12512757,.51618975,.457017,.25743777,.15077215,.14591824,.25216129
Angola,AGO,Sub-Saharan Africa,Sub-Saharan Africa,Developing economies,Middle income,Lower middle income,No,IBEP-MICS,2008,Co-residents only,1980,max,daughter,231,.44297212,.13325205,.14376529,.15063395,.12937659,.39077765,.090076104,.052898612,.16123508,.30501255,6.8525023,8.4065542,5.4826074,6.3934031,.7646963,.44161615,.51101041,2.4321043,.44848794,.26860392,.62136734,.58268726,.65674859,0,.59174025,.69004285,33.596039,.097781464,.48527837,.56090069,.20411411,.086616114,.19620928,.23068006
Angola,AGO,Sub-Saharan Africa,Sub-Saharan Africa,Developing economies,Middle income,Lower middle income,No,IBEP-MICS,2008,Co-residents only,1980,max,son,245,.46021807,.074247681,.15602361,.18039997,.12911068,.26325148,.10356227,.05095771,.22319318,.35903537,7.355042,9.9827938,5.1601825,5.735074,.80122399,.56677318,.6720677,3.6358297,.56041062,.52231234,.70887947,.61813313,.57729024,0,.50925273,.56598818,38.754822,.11974011,.54500586,.34221557,.31635389,.22169042,.10286099,.27590966
Angola,AGO,Sub-Saharan Africa,Sub-Saharan Africa,Developing economies,Middle income,Lower middle income,No,IBEP-MICS,2008,Co-residents only,1980,mom,all,726,.71517932,.10410636,.0801991,.066942848,.033572387,.31833902,.10628277,.06545572,.17919308,.3307294,3.9107363,9.1639757,4.2017536,5.9994226,.66970968,.62208933,.74983019,5.5042052,.6271112,.58019996,.70315403,.84034151,.68207246,0,.53407627,.76257426,34.388306,.097647659,.48506373,.44444975,.27645418,.18144841,.17851235,.25129804
Angola,AGO,Sub-Saharan Africa,Sub-Saharan Africa,Developing economies,Middle income,Lower middle income,No,IBEP-MICS,2008,Co-residents only,1980,mom,daughter,353,.71148062,.12182177,.046058938,.087823063,.032815602,.38580862,.085557275,.060176548,.15504946,.31340811,3.9025269,8.3892975,4.335134,6.3693528,.7646963,.54063463,.64553356,4.7703528,.54069728,.49577102,.62167311,.74880421,.68250257,0,.55764318,.81931168,29.997747,.095246747,.46235678,.57979727,.18786022,.13659519,.21838059,.23615715
Angola,AGO,Sub-Saharan Africa,Sub-Saharan Africa,Developing economies,Middle income,Lower middle income,No,IBEP-MICS,2008,Co-residents only,1980,mom,son,373,.71903878,.085620858,.11582334,.04515497,.03436207,.24793652,.1279092,.070964381,.20438623,.34880367,3.9193025,9.9723301,4.0640597,5.480701,.80122399,.70722103,.85686952,6.2711849,.71728152,.667373,.82412505,.8783251,.68119967,0,.51491493,.69440287,35.03643,.099697158,.50946301,.29550037,.37386832,.23093416,.13640095,.26709709
Albania,ALB,Europe & Central Asia,Europe & Central Asia,Developing economies,Middle income,Upper middle income,No,LITS,2016,Retrospective question,1940,avg,all,210,.18659513,.51288986,.1986751,.084960528,.016879391,.023203442,.38203645,.30956513,.19265647,.092538506,4.506053,7.8830962,3.5561621,4.1896052,.48960978,.59172344,.70223534,3.4521062,.59430873,.89328444,.58574563,.42781633,.34879205,0,.54514819,.64225298,39.266251,.11061332,.53607428,.36243448,.30192849,.2250237,.19732203,.25252005
Albania,ALB,Europe & Central Asia,Europe & Central Asia,Developing economies,Middle income,Upper middle income,No,LITS,2016,Retrospective question,1940,avg,daughter,114,.20238191,.50458342,.17938818,.09133321,.022313258,.042640898,.38070256,.33126658,.17219554,.073194437,4.4986024,7.5065465,3.758558,4.1540074,.55696887,.57212859,.66338217,3.1170628,.5737623,.81918669,.57331985,.42686138,.30342039,0,.54421675,.60147548,38.200562,.0897699,.52233207,.36407843,.30394882,.24186073,.22070107,.22109883
Albania,ALB,Europe & Central Asia,Europe & Central Asia,Developing economies,Middle income,Upper middle income,No,LITS,2016,Retrospective question,1940,avg,son,96,.16774969,.52280563,.22169884,.077353135,.010392717,0,.38362879,.28365907,.21708168,.11563048,4.5149469,8.3326025,3.3180318,4.2092667,.73243415,.61483306,.74861628,3.8472462,.61883599,1,.60006189,.42873874,.41274324,0,.55506146,.70415294,40.287609,.13585173,.56547755,.35991928,.30063564,.20359334,.15543897,.29002914
Albania,ALB,Europe & Central Asia,Europe & Central Asia,Developing economies,Middle income,Upper middle income,No,LITS,2016,Retrospective question,1940,dad,all,211,.18905567,.51535791,.19905999,.075431727,.021094738,.023103952,.38039839,.30823782,.19611813,.092141733,5.0621214,7.9007483,3.7539427,4.1892529,.48960978,.60625011,.60058218,2.983897,.60598075,.89512491,.60347408,.44212356,.33432582,0,.50902933,.5680567,39.879173,.12122285,.51026607,.35186467,.29980615,.22710636,.25371012,.25297689
Albania,ALB,Europe & Central Asia,Europe & Central Asia,Developing economies,Middle income,Upper middle income,No,LITS,2016,Retrospective question,1940,dad,daughter,115,.20676349,.48743206,.20090158,.074913457,.029989401,.04230611,.37771353,.3286657,.1786949,.072619759,5.0750532,7.5418258,3.9601572,4.1566381,.55696887,.58637774,.576644,2.6806362,.5830794,.82440788,.58883363,.45631966,.2622152,0,.49681494,.52146411,38.354233,.088843882,.47512653,.38332227,.29809448,.22453193,.28090644,.2205198
Albania,ALB,Europe & Central Asia,Europe & Central Asia,Developing economies,Middle income,Upper middle income,No,LITS,2016,Retrospective question,1940,dad,son,96,.16774969,.54895812,.19684419,.076055311,.010392717,0,.38362879,.28365907,.21708168,.11563048,5.0465622,8.3326025,3.5104063,4.2092667,.73243415,.62968695,.62968695,3.3415534,.6335355,1,.61911505,.42469078,.41978636,0,.53420454,.64055538,41.314827,.15377498,.5507201,.31496781,.30063751,.23061971,.21580081,.29202914
Albania,ALB,Europe & Central Asia,Europe & Central Asia,Developing economies,Middle income,Upper middle income,No,LITS,2016,Retrospective question,1940,max,all,210,.18659513,.50559705,.20320383,.083418407,.021185575,.023203442,.38203645,.30956513,.19265647,.092538506,5.1475158,7.8830962,3.8134203,4.1896052,.48960978,.59150279,.58605403,2.8792591,.59154469,.89328444,.58760166,.42108318,.35524002,0,.51927143,.57049638,39.703938,.1104265,.52004117,.35458195,.30996224,.2250293,.21383181,.25238976
Albania,ALB,Europe & Central Asia,Europe & Central Asia,Developing economies,Middle income,Upper middle income,No,LITS,2016,Retrospective question,1940,max,daughter,114,.20238191,.49730715,.18666448,.083419748,.03022672,.042640898,.38070256,.33126658,.17219554,.073194437,5.1076317,7.5065465,3.9879808,4.1540074,.55696887,.57679719,.567276,2.6124082,.5737623,.81918669,.58170831,.41022205,.33220381,0,.50250447,.52342457,38.457024,.086290754,.47853348,.35902697,.31730565,.24025863,.24298604,.21476848
Albania,ALB,Europe & Central Asia,Europe & Central Asia,Developing economies,Middle income,Upper middle income,No,LITS,2016,Retrospective question,1940,max,son,96,.16774969,.51549315,.22294766,.083416805,.010392717,0,.38362879,.28365907,.21708168,.11563048,5.195128,8.3326025,3.6142826,4.2092667,.73243415,.60870576,.60870576,3.1914275,.61277235,1,.5943886,.43193859,.38274044,0,.54624146,.63616389,40.635513,.14390136,.55306029,.34929368,.30216807,.20463687,.18217489,.29730013
Albania,ALB,Europe & Central Asia,Europe & Central Asia,Developing economies,Middle income,Upper middle income,No,LITS,2016,Retrospective question,1940,mom,all,212,.33294538,.43891692,.16193809,.054138802,.012060803,.023048339,.3848336,.30882949,.19136865,.091919936,3.9789541,7.862474,3.7028382,4.185132,.48960978,.69424951,.69015372,3.9525783,.69365972,.94059235,.60899514,.45266256,.59308386,0,.52376246,.59198242,40.243122,.14277458,.54053473,.34398374,.29097348,.22226821,.18972531,.2526713
Albania,ALB,Europe & Central Asia,Europe & Central Asia,Developing economies,Middle income,Upper middle income,No,LITS,2016,Retrospective question,1940,mom,daughter,116,.33905211,.45815799,.12843886,.052310362,.022040686,.04212001,.38583052,.32965711,.17009205,.072300315,3.975332,7.4734602,3.8644142,4.1428447,.55696887,.66581708,.65895885,3.6169317,.66536593,.89339006,.5880996,.40034547,.52329659,0,.53728795,.5759995,38.340767,.1064013,.52509344,.34898561,.30037966,.24249876,.21330665,.21721305
Albania,ALB,Europe & Central Asia,Europe & Central Asia,Developing economies,Middle income,Upper middle income,No,LITS,2016,Retrospective question,1940,mom,son,96,.32556537,.41566387,.20242228,.056348491,0,0,.38362879,.28365907,.21708168,.11563048,3.9833314,8.3326025,3.5178115,4.2092667,.73243415,.72785306,.72785306,4.3492708,.72785306,1,.63682926,.49277997,.67137855,,.51399803,.61502862,42.603935,.18652451,.56137985,.33763501,.27915764,.19668284,.16358216,.29552302
Albania,ALB,Europe & Central Asia,Europe & Central Asia,Developing economies,Middle income,Upper middle income,No,LITS,2016,Retrospective question,1950,avg,all,397,.062357046,.39747119,.33369806,.15932888,.047144841,.0072731422,.13180476,.23861122,.38349983,.23881105,6.6618299,10.934166,3.8459518,4.0296593,.34095109,.72990769,.78488785,4.4787951,.73918879,.94487655,.83271784,.68744588,.47823033,0,.42233312,.44250646,39.817444,.10480159,.57877731,.35065296,.30823675,.23630871,.21071255,.25173065
Albania,ALB,Europe & Central Asia,Europe & Central Asia,Developing economies,Middle income,Upper middle income,No,LITS,2016,Retrospective question,1950,avg,daughter,192,.06291388,.41233605,.37815145,.08638601,.060212631,.011720796,.13097209,.28723347,.39972767,.17034596,6.4042888,10.425445,3.8236704,3.9231086,.51474965,.73569143,.78579253,4.2729592,.7465657,.93907529,.78197235,.75324863,.28980631,0,.52389282,.53751713,34.033318,.039837576,.56823242,.43510094,.31353956,.21152189,.21606496,.17915106
Albania,ALB,Europe & Central Asia,Europe & Central Asia,Developing economies,Middle income,Upper middle income,No,LITS,2016,Retrospective question,1950,avg,son,205,.061829913,.38339937,.29161626,.22838023,.034774221,.0030627712,.13259302,.19258296,.36813775,.30362353,6.9056315,11.415746,3.8604593,4.0793195,.62075806,.72457683,.78403145,4.6685138,.73220545,.95046455,.88438171,.60666895,.54570031,0,.32333639,.34166721,45.56477,.16789895,.62649703,.27592349,.30242527,.26067889,.18683612,.32043812
Albania,ALB,Europe & Central Asia,Europe & Central Asia,Developing economies,Middle income,Upper middle income,No,LITS,2016,Retrospective question,1950,dad,all,401,.074481085,.41523796,.28999555,.16540664,.054878756,.0071907677,.13525479,.23590873,.38553938,.23610631,7.1333356,10.906694,4.088284,4.0371537,.34095109,.73452932,.73279566,4.0400863,.74215013,.95437223,.84783846,.66640949,.47051352,0,.43185943,.42645836,39.164913,.12074529,.57570994,.33799049,.30554506,.23571916,.20632054,.25141096
Albania,ALB,Europe & Central Asia,Europe & Central Asia,Developing economies,Middle income,Upper middle income,No,LITS,2016,Retrospective question,1950,dad,daughter,193,.081879891,.41134986,.32763112,.11922847,.059910651,.011662015,.13533041,.28579295,.39772296,.16949165,6.9483857,10.39322,3.994005,3.9395773,.51474965,.72635722,.72371137,3.6951449,.73773617,.95342219,.80806762,.70967495,.33435372,0,.5347538,.52746654,34.695633,.051775068,.54202211,.42106804,.32237744,.20477943,.21975012,.17859937
Albania,ALB,Europe & Central Asia,Europe & Central Asia,Developing economies,Middle income,Upper middle income,No,LITS,2016,Retrospective question,1950,dad,son,208,.067562968,.41887349,.25480509,.20858468,.050173778,.0030100101,.13518408,.18926542,.37414739,.29839313,7.3062692,11.386809,4.1767406,4.077477,.62075806,.74209213,.74126804,4.3593106,.74627727,.95544881,.88435757,.61439264,.54328698,0,.33982781,.33175153,44.911129,.18654233,.59668511,.2687352,.28943369,.26522705,.19702911,.31949213
Albania,ALB,Europe & Central Asia,Europe & Central Asia,Developing economies,Middle income,Upper middle income,No,LITS,2016,Retrospective question,1950,max,all,397,.062357046,.38995376,.31690776,.17282285,.057958584,.0072731422,.13180476,.23861122,.38349983,.23881105,7.3468747,10.934166,4.0553012,4.0296593,.34095109,.71560955,.71704036,3.8563256,.72506493,.94487655,.8393296,.66050804,.45476782,0,.43549004,.4327364,39.151302,.11557032,.58935499,.34644827,.30841619,.22956522,.19376256,.25165439
Albania,ALB,Europe & Central Asia,Europe & Central Asia,Developing economies,Middle income,Upper middle income,No,LITS,2016,Retrospective question,1950,max,daughter,192,.06291388,.39943936,.34924629,.12314738,.065253079,.011720796,.13097209,.28723347,.39972767,.17034596,7.1767488,10.425445,3.9622445,3.9231086,.51474965,.70920902,.70395696,3.5065897,.72314358,.93907529,.79468006,.7061258,.32328576,0,.5419023,.53654981,34.588528,.052714217,.5533843,.42889872,.32627514,.19211191,.1984524,.18330041
Albania,ALB,Europe & Central Asia,Europe & Central Asia,Developing economies,Middle income,Upper middle income,No,LITS,2016,Retrospective question,1950,max,son,205,.061829913,.38097417,.28629452,.21984813,.051053248,.0030627712,.13259302,.19258296,.36813775,.30362353,7.507925,11.415746,4.1447535,4.0793195,.62075806,.72157794,.7293939,4.1824489,.72688371,.95046455,.88364571,.60782856,.52448797,0,.34034944,.33497626,45.601597,.17834784,.58741587,.27984256,.29072961,.26671413,.19271797,.31636167
Albania,ALB,Europe & Central Asia,Europe & Central Asia,Developing economies,Middle income,Upper middle income,No,LITS,2016,Retrospective question,1950,mom,all,398,.11822762,.47558415,.23132816,.14281918,.032040898,.0072555901,.13148668,.2380354,.38498759,.23823474,6.1834993,10.936738,3.9975226,4.0251217,.34095109,.77414978,.7755729,4.9224825,.78038746,.97099626,.87462866,.64859754,.4799659,0,.36828142,.3708241,41.13644,.12461783,.51699197,.31914547,.29970941,.25652727,.26699197,.25165242
Albania,ALB,Europe & Central Asia,Europe & Central Asia,Developing economies,Middle income,Upper middle income,No,LITS,2016,Retrospective question,1950,mom,daughter,193,.15027861,.47576573,.22941281,.097492494,.047050342,.01166278,.1303238,.28581172,.40269893,.16950276,5.890842,10.433239,4.1357131,3.914902,.51474965,.77164596,.76651579,4.7742753,.78239012,.97462022,.84525031,.67981911,.31566375,0,.44906172,.42508569,37.061714,.073446244,.47070399,.38560846,.31874466,.22220063,.26422781,.17971843
Albania,ALB,Europe & Central Asia,Europe & Central Asia,Developing economies,Middle income,Upper middle income,No,LITS,2016,Retrospective question,1950,mom,son,205,.087735623,.47541139,.23315035,.18594113,.017761534,.0030627712,.13259302,.19258296,.36813775,.30362353,6.4619217,11.415746,3.8510027,4.0793195,.62075806,.77646077,.78418952,5.0592766,.7784822,.96509093,.90259892,.61937082,.56192243,0,.28015438,.29676405,45.588554,.17718062,.55057788,.25128853,.27941746,.29211342,.24288918,.32008743
Albania,ALB,Europe & Central Asia,Europe & Central Asia,Developing economies,Middle income,Upper middle income,No,LITS,2016,Retrospective question,1960,avg,all,513,.043069005,.31076086,.40521666,.18788674,.053066704,.017085951,.11831313,.24193881,.43224055,.19042158,7.4412541,10.704932,3.4530306,3.9519584,.2865437,.67482567,.75674093,3.4656959,.67955446,.94338334,.87627,.6392504,.35680506,0,.35680643,.40836129,41.995388,.13798119,.52556479,.32179067,.30584991,.23437823,.26022914,.25099212
Albania,ALB,Europe & Central Asia,Europe & Central Asia,Developing economies,Middle income,Upper middle income,No,LITS,2016,Retrospective question,1960,avg,daughter,288,.054916706,.29457667,.43895239,.16239274,.049161516,.013161263,.13849071,.258522,.4225539,.16727212,7.3351555,10.42376,3.4372575,3.9347231,.44028205,.65689689,.74509984,3.3303146,.65470457,.9201138,.8554768,.58607179,.39910731,0,.38646781,.44240031,39.355473,.096746564,.53679681,.35548821,.31457359,.23319162,.22658294,.21686143
Albania,ALB,Europe & Central Asia,Europe & Central Asia,Developing economies,Middle income,Upper middle income,No,LITS,2016,Retrospective question,1960,avg,son,225,.028243596,.33101267,.36300212,.21978822,.057953391,.021997038,.093064263,.22118774,.44436172,.21938923,7.5740194,11.056771,3.4756873,3.9539297,.34576356,.69746983,.77130783,3.6366837,.71064991,1,.89942515,.71971738,.3176941,0,.31711781,.36075211,45.21151,.18929905,.5143894,.2798405,.2950221,.23583835,.29370588,.29370093
Albania,ALB,Europe & Central Asia,Europe & Central Asia,Developing economies,Middle income,Upper middle income,No,LITS,2016,Retrospective question,1960,dad,all,515,.047015619,.34275046,.36615422,.18697356,.05710616,.017002886,.11773793,.24076261,.43500075,.18949583,7.8017616,10.711228,3.7049601,3.9433563,.2865437,.68577182,.6667617,3.1442847,.69031805,.94838798,.88128364,.65060157,.33020788,0,.38253337,.40714753,41.711979,.13420512,.50619996,.327389,.29988864,.23851722,.26390532,.25115842
Albania,ALB,Europe & Central Asia,Europe & Central Asia,Developing economies,Middle income,Upper middle income,No,LITS,2016,Retrospective question,1960,dad,daughter,288,.059303794,.3329953,.39386177,.16532865,.048510492,.013161263,.13849071,.258522,.4225539,.16727212,7.6356983,10.42376,3.626308,3.9347231,.44028205,.67270505,.65654033,3.0110486,.67230707,.92602348,.85897619,.61636382,.34088412,0,.3895376,.42266753,39.674263,.10347942,.48053852,.35918689,.30246696,.23486674,.27823469,.21972413
Albania,ALB,Europe & Central Asia,Europe & Central Asia,Developing economies,Middle income,Upper middle income,No,LITS,2016,Retrospective question,1960,dad,son,227,.031806305,.35482457,.33186007,.21376385,.067745179,.021757735,.092051826,.21878146,.45040643,.21700253,8.0073013,11.067033,3.7979546,3.9335089,.34576356,.70227855,.67946172,3.3125961,.71261054,1,.90719533,.70089555,.3199878,0,.36939332,.38257748,44.341713,.18232267,.5339514,.28598794,.29644126,.24376063,.24956387,.29006523
Albania,ALB,Europe & Central Asia,Europe & Central Asia,Developing economies,Middle income,Upper middle income,No,LITS,2016,Retrospective question,1960,max,all,513,.043069005,.305071,.38416234,.19547315,.07222452,.017085951,.11831313,.24193881,.43224055,.19042158,8.1502943,10.704932,3.8266549,3.9519584,.2865437,.65386903,.62929821,2.8691373,.66041046,.94338334,.87396228,.6260528,.30125168,0,.38113326,.39361343,41.903664,.13871996,.52099591,.32279658,.31204191,.22644153,.25187218,.25121635
